FCSFile,Sample/CellLine,Antibody,Channel,Notes,WellID
Clone12026-06-02.0001.fcs,KPL4_e38_e1_e1_b1_P2,HER2,APC,,A1
Clone12026-06-02.0002.fcs,KPL4_e38_e1_e1_b1_P2,TROP2,PE,,B1
Clone12026-06-02.0003.fcs,KPL4_e38_e1_e1_b1_P2,ABCB1,PE,,C1
Clone12026-06-02.0004.fcs,KPL4_e38_e1_e1_b1_P2,ABCG2,PE,,D1
Clone12026-06-02.0005.fcs,KPL4_e38_e1_e1_b1_P2,HB-44976,"APC, PE",unstained control,E1
Clone22026-06-02.0001.fcs,KPL4_e38_e1_e2_b1_P2,HER2,APC,,A2
Clone22026-06-02.0002.fcs,KPL4_e38_e1_e2_b1_P2,TROP2,PE,,B2
Clone22026-06-02.0003.fcs,KPL4_e38_e1_e2_b1_P2,ABCB1,PE,,C2
Clone22026-06-02.0004.fcs,KPL4_e38_e1_e2_b1_P2,ABCG2,PE,,D2
Clone22026-06-02.0005.fcs,KPL4_e38_e1_e2_b1_P2,HB-44976,"APC, PE",unstained control,E2
Clone32026-06-02.0001.fcs,KPL4_e38_e1_e3_b1_P2,HER2,APC,,A3
Clone32026-06-02.0002.fcs,KPL4_e38_e1_e3_b1_P2,TROP2,PE,,B3
Clone32026-06-02.0003.fcs,KPL4_e38_e1_e3_b1_P2,ABCB1,PE,,C3
Clone32026-06-02.0004.fcs,KPL4_e38_e1_e3_b1_P2,ABCG2,PE,,D3
Clone32026-06-02.0005.fcs,KPL4_e38_e1_e3_b1_P2,HB-44976,"APC, PE",unstained control,E3
Clone42026-06-02.0001.fcs,KPL4_e38_e1_e4_b1_P2,HER2,APC,,A4
Clone42026-06-02.0002.fcs,KPL4_e38_e1_e4_b1_P2,TROP2,PE,,B4
Clone42026-06-02.0003.fcs,KPL4_e38_e1_e4_b1_P2,ABCB1,PE,,C4
Clone42026-06-02.0004.fcs,KPL4_e38_e1_e4_b1_P2,ABCG2,PE,,D4
Clone42026-06-02.0005.fcs,KPL4_e38_e1_e4_b1_P2,HB-44976,"APC, PE",unstained control,E4
Clone52026-06-02.0001.fcs,KPL4_e38_e1_e5_b1_P2,HER2,APC,,A5
Clone52026-06-02.0002.fcs,KPL4_e38_e1_e5_b1_P2,TROP2,PE,,B5
Clone52026-06-02.0003.fcs,KPL4_e38_e1_e5_b1_P2,ABCB1,PE,,C5
Clone52026-06-02.0004.fcs,KPL4_e38_e1_e5_b1_P2,ABCG2,PE,,D5
Clone52026-06-02.0005.fcs,KPL4_e38_e1_e5_b1_P2,HB-44976,"APC, PE",unstained control,E5
Clone62026-06-02.0001.fcs,KPL4_e38_e1_e6_b1_P2,HER2,APC,,A6
Clone62026-06-02.0002.fcs,KPL4_e38_e1_e6_b1_P2,TROP2,PE,,B6
Clone62026-06-02.0003.fcs,KPL4_e38_e1_e6_b1_P2,ABCB1,PE,,C6
Clone62026-06-02.0004.fcs,KPL4_e38_e1_e6_b1_P2,ABCG2,PE,,D6
Clone62026-06-02.0005.fcs,KPL4_e38_e1_e6_b1_P2,HB-44976,"APC, PE",unstained control,E6
Clone72026-06-02.0001.fcs,KPL4_e38_e1_e7_b1_P2,HER2,APC,,A7
Clone72026-06-02.0002.fcs,KPL4_e38_e1_e7_b1_P2,TROP2,PE,,B7
Clone72026-06-02.0003.fcs,KPL4_e38_e1_e7_b1_P2,ABCB1,PE,,C7
Clone72026-06-02.0004.fcs,KPL4_e38_e1_e7_b1_P2,ABCG2,PE,,D7
Clone72026-06-02.0005.fcs,KPL4_e38_e1_e7_b1_P2,HB-44976,"APC, PE",unstained control,E7
Clone82026-06-02.0001.fcs,KPL4_e38_e1_e8_b1_P2,HER2,APC,,A8
Clone82026-06-02.0002.fcs,KPL4_e38_e1_e8_b1_P2,TROP2,PE,,B8
Clone82026-06-02.0003.fcs,KPL4_e38_e1_e8_b1_P2,ABCB1,PE,,C8
Clone82026-06-02.0004.fcs,KPL4_e38_e1_e8_b1_P2,ABCG2,PE,,D8
Clone82026-06-02.0005.fcs,KPL4_e38_e1_e8_b1_P2,HB-44976,"APC, PE",unstained control,E8
Clone92026-06-02.0001.fcs,KPL4_e38_e1_e9_b1_P2,HER2,APC,,A9
Clone92026-06-02.0002.fcs,KPL4_e38_e1_e9_b1_P2,TROP2,PE,,B9
Clone92026-06-02.0003.fcs,KPL4_e38_e1_e9_b1_P2,ABCB1,PE,,C9
Clone92026-06-02.0004.fcs,KPL4_e38_e1_e9_b1_P2,ABCG2,PE,,D9
